"@stream","@system","@proc","ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","proto","service","duration","orig_bytes","resp_bytes","conn_state","missed_bytes","history","orig_pkts","orig_ip_bytes","resp_pkts","resp_ip_bytes","orig_l2_addr","resp_l2_addr"
"conn","bobs.bigwheel.local","zeek","1588207203.777765","CDKqre3EJxU9GicjSj","10.0.1.4","60848","10.0.1.6","445","tcp","","0.0023679733276367188","228","614","RSTO","0","ShADdR","4","400","2","706","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.781575","CYPsof4cIR3ADoi7lk","10.0.1.4","60849","10.0.1.6","445","tcp","","0.003968000411987305","228","614","RSTO","0","ShADdR","4","400","2","706","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207203.129777","CUi2Ap4JSP2l86AGD7","10.0.1.6","50954","10.0.0.4","53","udp","dns","0.03660297393798828","60","151","SF","0","Dd","2","116","1","179","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207203.291454","CeypNv3IfSg5JlSGth","10.0.1.6","64035","10.0.0.4","53","udp","dns","0.0013689994812011719","29","80","SF","0","Dd","1","57","1","108","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207222.462123","CBmq3pEGfTDZ4Jo2k","10.0.1.4","60858","10.0.1.6","55121","tcp","","3.00628399848938","0","0","S0","0","S","3","156","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207229.482755","CHTdh64AsyEGqj0Ca","10.0.1.4","60858","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207237.486216","Ctc2c33qi775S9FQ96","10.0.1.4","60858","10.0.1.6","55121","tcp","","","","","S0","0","S","1","52","0","0","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588207243.700821","CsqLvm1IaBwoRgZSFa","10.0.1.6","57083","10.0.0.4","389","tcp","","0.007930994033813477","2391","1273","RSTR","0","ShADadFr","8","873","8","1605","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207243.70901","C9zyfX168gRuG8DOt9","10.0.1.6","57084","10.0.0.4","389","tcp","","0.012980222702026367","2206","937","RSTR","0","ShADadFr","7","648","7","1229","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207243.713091","CAfhNb15CEQDIDaGo5","10.0.1.6","57085","10.0.0.4","389","tcp","","0.010522127151489258","2391","1273","RSTR","0","ShADadFr","8","873","8","1605","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207243.723912","CkAsph0DBiSpBb72","10.0.1.6","57086","10.0.0.4","88","tcp","krb_tcp","0.004079103469848633","221","182","RSTR","0","ShADdFar","4","393","4","354","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207243.732057","CqfGLE4baceaCsPYbi","10.0.1.6","57087","10.0.0.4","88","tcp","krb_tcp","0.002707958221435547","301","1535","RSTR","0","ShADdFar","5","513","5","1747","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207243.734353","ChfGoR2ZTvs8ityWN5","10.0.1.6","57088","10.0.0.4","88","tcp","krb_tcp","0.0025670528411865234","1443","1465","RSTR","0","ShADadFr","5","172","6","1717","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588207244.730954","CpnezL3085IfcJzSAe","10.0.1.6","57091","192.168.0.4","8443","tcp","ssl","0.24530410766601563","894","55873","RSTO","0","ShADadfR","9","1266","9","56245","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
